"","int","plant","BR_code","date_time","avg_leaf_temp","env_temp","spore","rep","plant_name","ASSYST","dpi","mean_temp","diff_temp","lf_vs_env"
"58","2.44","2","BR7-02114","2015-8-19 00:00:00",21.47776,21.8,"1","4","OSR Temple","Sheff-002","44",21.62323,-0.14547,0.322240000000001
"59","2.44","2","BR7-02121","2015-8-19 00:00:00",21.41428,21.8,"2","1","OSR Temple","Sheff-002","44",21.62323,-0.208949999999998,0.385719999999999
"60","2.44","2","BR7-02122","2015-8-19 00:00:00",21.48692,21.8,"2","2","OSR Temple","Sheff-002","44",21.62323,-0.136309999999998,0.313079999999999
"61","2.51","2","BR7-02121","2015-8-26 00:00:00",22.77052,23.40133333,"2","1","OSR Temple","Sheff-002","51",22.7329,0.0376200000000004,0.630813329999999
"62","2.51","2","BR7-02122","2015-8-26 00:00:00",22.64384,23.48066667,"2","2","OSR Temple","Sheff-002","51",22.7329,-0.0890599999999999,0.836826670000001
"63","2.51","2","BR7-02123","2015-8-26 00:00:00",23.88008,23.61237458,"2","3","OSR Temple","Sheff-002","51",22.7329,1.14718,-0.267705419999999
"64","2.51","2","BR7-02124","2015-8-26 00:00:00",23.21324,23.75016722,"2","4","OSR Temple","Sheff-002","51",22.7329,0.480339999999998,0.536927220000003
"65","2.51","2","BR7-02134","2015-8-26 00:00:00",23.56268,23.72073579,"3","4","OSR Temple","Sheff-002","51",22.7329,0.82978,0.158055789999999
"66","2.51","2","BR7-02111","2015-8-26 00:00:00",23.00328,23.39133333,"1","1","OSR Temple","Sheff-002","51",22.7329,0.270379999999999,0.388053329999998
"67","2.51","2","BR7-02112","2015-8-26 00:00:00",22.24332,23.47066667,"1","2","OSR Temple","Sheff-002","51",22.7329,-0.48958,1.22734667
"68","2.51","2","BR7-02113","2015-8-26 00:00:00",23.10052,23.59230769,"1","3","OSR Temple","Sheff-002","51",22.7329,0.367619999999999,0.491787689999999
"69","2.51","2","BR7-02114","2015-8-26 00:00:00",22.58448,23.73010033,"1","4","OSR Temple","Sheff-002","51",22.7329,-0.148420000000002,1.14562033
"70","2.51","2","BR7-02131","2015-8-26 00:00:00",22.53892,23.38733333,"3","1","OSR Temple","Sheff-002","51",22.7329,-0.19398,0.84841333
"71","2.51","2","BR7-02132","2015-8-26 00:00:00",23.1442,23.466,"3","2","OSR Temple","Sheff-002","51",22.7329,0.411300000000001,0.3218
"72","2.51","2","BR7-02133","2015-8-26 00:00:00",22.9858,23.58428094,"3","3","OSR Temple","Sheff-002","51",22.7329,0.2529,0.598480939999998
"73","3.30","3","BR7-03112","2015-8-5 00:00:00",20.06824,22.3,"1","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,-0.18561,2.23176
"74","3.30","3","BR7-03132","2015-8-5 00:00:00",20.949,22.3,"3","2","Chinese cabbage Wong Bok","Sheff-003","30",20.25385,0.695150000000002,1.351
